X1 X2 X3 X4 X5 y  
2 0 0.8333333333333334 4 3 28
1 0 5.0 2 1 0
3 0 1.0 4 4 2
1 2 1.25 6 3 26
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.0 4 3 17
1 0 1.0 4 3 7
2 0 1.2 6 2 28
1 0 1.1666666666666667 4 3 7
1 1 1.5 4 4 23
2 0 1.0 4 3 24
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 0.6666666666666666 6 3 4
1 0 1.0 4 3 7
2 0 1.5 6 2 28
1 0 1.1666666666666667 4 3 7
1 1 1.0 6 3 27
1 0 5.5 2 1 0
1 0 2.75 2 1 22
2 1 1.5 6 3 19
2 1 1.5 6 3 20
1 0 1.8 4 2 9
1 0 5.5 2 1 0
2 0 0.5 4 4 2
3 0 1.0 4 4 2
2 0 0.5 4 3 2
2 0 0.6666666666666666 4 2 24
1 0 5.5 2 1 0
2 1 0.5 4 5 11
2 0 0.35714285714285715 4 3 1
2 1 0.6666666666666666 4 4 23
1 1 1.0 6 3 17
1 0 3.6666666666666665 2 2 0
2 0 1.0 6 3 8
1 1 1.0 6 3 27
1 0 5.5 2 1 0
2 1 1.25 8 5 20
2 0 0.6 6 4 4
2 1 0.6666666666666666 4 3 23
3 0 1.0 4 2 28
1 1 1.25 6 3 17
1 0 0.7777777777777778 4 3 17
1 0 1.75 2 3 22
1 0 0.6 4 2 5
1 0 1.1666666666666667 4 3 7
1 0 1.0 4 3 7
1 1 1.0 6 3 27
1 0 2.25 4 2 9
1 0 3.6666666666666665 2 2 0
1 0 5.5 2 1 22
2 0 0.8 4 3 1
1 0 1.8 4 2 9
1 0 5.5 2 1 0
1 1 1.5 4 3 23
4 1 1.4444444444444444 8 4 4
1 0 1.5 4 2 9
2 0 5.5 4 2 0
1 0 2.3333333333333335 6 3 17
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
1 1 0.8 4 3 23
1 0 1.6666666666666667 2 3 11
1 1 1.0 6 8 27
1 0 2.75 2 1 22
1 1 1.0 6 3 27
2 0 1.0 4 3 24
2 1 1.0 8 3 19
2 0 0.6666666666666666 4 3 28
1 1 1.0 6 3 27
2 0 1.0 6 2 10
1 0 5.5 2 1 0
1 0 2.25 4 2 9
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.25 4 3 2
2 0 0.8333333333333334 4 3 24
2 1 1.6 6 3 27
1 0 2.0 6 3 17
1 1 1.0 6 3 27
1 0 5.5 2 1 0
1 0 3.6666666666666665 2 1 22
2 0 1.0 4 3 2
2 0 0.6666666666666666 6 3 4
1 0 1.0 4 3 7
2 0 1.2 6 2 28
1 0 1.1666666666666667 4 3 7
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.25 4 2 1
1 0 1.8 4 2 9
1 0 5.5 2 1 0
1 1 1.5 4 3 23
3 0 1.4444444444444444 6 4 4
1 1 1.5 4 4 23
1 0 1.8 4 2 9
1 0 5.5 2 1 0
1 0 1.0 4 2 17
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 2 0
1 1 1.25 6 3 27
3 1 1.25 8 3 20
1 0 3.6666666666666665 2 2 0
2 0 0.4 4 3 2
2 0 1.0 4 3 1
3 1 0.8571428571428571 6 4 4
1 1 0.8 4 3 23
3 0 1.0 4 3 28
1 1 1.25 6 4 17
3 0 1.0 8 3 19
1 0 5.0 2 1 0
3 0 1.2 6 3 2
1 2 1.25 6 3 26
1 1 1.0 4 3 23
2 1 0.6666666666666666 4 2 5
2 0 0.8333333333333334 4 3 28
3 0 1.0 4 4 3
1 0 2.75 2 2 22
2 0 1.0 6 3 6
1 0 3.6666666666666665 2 2 0
1 0 1.8 4 2 9
1 1 0.75 4 5 15
1 1 1.5 4 5 23
2 0 1.0 4 3 24
2 0 1.2 4 2 24
1 1 1.25 6 3 27
1 0 1.0 4 2 17
2 0 0.8333333333333334 4 3 28
1 0 3.6666666666666665 2 2 0
2 0 0.4 4 3 2
1 1 1.5 4 4 23
2 0 0.6666666666666666 4 3 24
2 0 1.0 4 3 2
2 1 1.5 6 3 20
1 0 3.6666666666666665 2 2 0
1 1 1.5 4 5 23
2 0 1.0 4 3 24
1 0 1.5714285714285714 6 4 21
1 1 0.8 4 3 23
1 0 3.6666666666666665 2 2 0
3 0 1.0 6 3 2
1 1 1.0 4 3 17
1 0 1.0 4 3 7
3 0 1.0 4 4 28
1 0 1.75 2 3 22
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 1 0.38461538461538464 4 7 11
1 2 1.25 6 3 26
1 0 1.8 4 2 9
1 0 5.5 2 1 0
2 0 0.4 4 3 2
2 0 0.5454545454545454 6 4 4
1 0 1.1666666666666667 4 3 7
1 1 1.0 6 3 27
1 0 1.875 2 3 22
2 0 1.5 4 2 1
1 0 0.75 4 3 5
2 0 0.8333333333333334 4 3 28
4 0 0.42857142857142855 6 4 3
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.25 4 3 2
2 0 0.6666666666666666 4 3 24
2 1 1.6 6 3 27
1 0 2.0 6 3 17
1 0 3.6666666666666665 2 2 0
1 0 5.5 2 1 22
3 1 0.75 4 3 3
2 1 1.5 6 3 20
1 0 3.6666666666666665 2 2 0
2 1 1.25 8 3 19
3 0 0.6666666666666666 4 4 28
2 1 0.6666666666666666 4 3 23
1 1 1.25 6 3 17
1 1 0.8571428571428571 4 5 15
1 0 2.25 4 2 9
1 0 1.4444444444444444 6 4 5
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.0 4 2 1
1 0 1.8 4 2 9
1 0 5.5 2 1 0
1 1 1.5 4 3 23
4 1 1.4444444444444444 8 4 4
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 1 0.6666666666666666 4 5 23
1 0 0.6666666666666666 4 5 5
1 0 3.6666666666666665 2 1 22
3 0 0.6666666666666666 4 4 28
1 0 3.6666666666666665 2 2 0
1 0 5.5 2 1 22
2 0 0.8333333333333334 4 3 2
2 0 0.6666666666666666 6 3 4
1 0 1.0 4 3 7
2 0 1.2 6 2 28
1 0 1.1666666666666667 4 3 7
2 1 1.25 8 3 19
2 0 0.8333333333333334 4 3 28
1 2 1.25 6 3 26
1 0 3.6666666666666665 2 2 0
1 1 1.0 6 3 27
3 1 1.25 8 3 20
1 0 1.1666666666666667 4 3 7
1 0 3.6666666666666665 2 2 0
1 0 1.5714285714285714 6 2 21
1 0 1.0 4 3 7
3 0 0.5384615384615384 4 4 2
1 0 3.6666666666666665 2 2 0
1 0 1.1666666666666667 4 3 7
1 0 5.5 2 1 0
1 0 2.25 4 2 9
1 0 3.6666666666666665 2 2 0
1 0 5.5 2 1 22
3 1 1.0 4 3 2
1 0 2.75 2 3 22
3 1 0.8333333333333334 4 3 28
2 1 1.5 6 3 19
2 0 1.0 6 2 10
2 0 1.2 6 2 28
1 1 1.0 6 3 27
2 0 1.0 4 3 24
2 1 1.25 8 3 19
2 0 0.6666666666666666 4 3 28
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
1 1 0.75 4 5 13
1 0 0.6666666666666666 4 3 5
2 1 1.5 6 3 19
2 0 0.6666666666666666 4 3 28
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.0 6 3 8
3 0 0.9090909090909091 6 5 28
1 0 0.875 4 2 17
2 1 1.5 6 3 20
1 0 1.1666666666666667 4 3 7
3 0 1.2 6 3 2
1 1 1.25 4 3 26
1 1 1.0 6 3 0
2 0 1.5 4 1 22
3 0 1.8 6 3 17
2 0 0.75 6 2 1
2 0 1.0 6 3 9
1 0 1.4 4 3 28
1 1 1.5 4 4 23
1 0 1.5714285714285714 6 3 24
2 0 0.8333333333333334 4 3 11
2 0 0.35714285714285715 4 3 20
1 0 3.6666666666666665 2 2 0
1 0 2.75 2 1 22
2 1 1.5 6 3 20
2 1 0.75 6 3 24
1 0 1.0 2 1 27
1 0 5.0 2 1 0
3 0 1.0 6 4 2
3 0 1.2 4 4 0
2 0 0.6666666666666666 6 3 13
3 0 1.0 4 3 1
1 0 3.6666666666666665 2 2 5
1 0 2.25 4 2 2
3 0 1.5 4 4 0
1 0 1.3333333333333333 4 2 22
2 0 1.5 6 2 2
1 0 1.1666666666666667 4 3 28
1 0 3.6666666666666665 2 2 1
1 0 2.0 4 2 17
1 0 1.6666666666666667 2 2 7
4 0 1.0 4 4 21
2 1 1.5 6 3 0
1 0 1.8 4 2 24
2 1 0.8571428571428571 6 7 2
1 1 1.0 6 3 0
1 0 5.5 2 1 22
1 0 3.6666666666666665 2 1 23
2 0 0.75 6 3 12
1 0 1.3333333333333333 4 2 0
1 1 1.0 6 3 26
2 0 1.4444444444444444 8 4 7
2 0 0.7333333333333333 6 7 21
1 1 1.0 6 3 23
1 0 11.0 2 1 0
1 0 3.6666666666666665 2 2 17
2 0 1.0 4 3 22
1 1 1.0 6 3 22
1 0 5.5 2 1 8
1 0 3.6666666666666665 2 1 21
2 0 1.0 6 3 9
2 0 1.0 6 4 26
2 0 1.0 4 3 23
1 0 1.375 6 2 19
1 0 1.5555555555555556 4 4 28
1 1 1.0 6 3 27
1 1 1.5 4 3 23
3 1 1.0 6 3 20
1 0 2.0 4 2 7
4 1 0.6666666666666666 6 3 23
2 0 0.8333333333333334 4 3 28
2 0 1.0 4 4 24
1 1 1.0 4 5 27
1 0 4.0 2 1 23
4 1 0.8 6 3 6
1 0 1.3333333333333333 2 2 9
3 1 0.8333333333333334 4 4 4
1 0 2.25 4 2 28
4 0 0.6428571428571429 4 5 24
2 0 1.5 6 2 0
1 1 0.75 4 3 22
1 0 0.8 2 2 17
1 1 1.25 6 3 23
1 0 2.6666666666666665 4 2 22
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 4 2 22
1 1 1.2 4 4 2
1 1 0.75 4 5 15
1 0 1.8 4 2 27
1 0 1.75 4 2 9
1 0 1.375 6 2 19
1 0 1.5555555555555556 4 4 28
2 0 1.2 4 2 0
2 1 1.5 6 3 22
2 1 1.5 6 3 8
1 1 1.0 6 3 28
2 0 1.0 4 4 24
1 0 5.5 2 2 26
2 1 0.4375 4 4 23
1 0 5.5 2 2 0
1 0 0.875 4 2 5
1 1 1.2 4 5 7
1 1 1.0 6 3 0
1 0 5.5 4 1 22
4 1 0.6875 6 7 13
1 0 2.25 4 2 18
1 1 1.0 6 3 28
1 0 11.0 2 1 9
1 0 3.6666666666666665 4 2 0
1 1 0.75 4 5 22
2 0 1.0 4 3 22
2 1 0.75 4 3 20
4 1 0.5882352941176471 6 5 0
1 0 3.6666666666666665 2 2 0
2 0 1.0 4 3 22
2 0 0.5 6 2 1
2 1 1.5 6 3 12
2 0 1.0 4 3 21
2 0 0.6666666666666666 4 3 22
1 1 1.0 6 3 2
2 1 1.25 8 3 20
2 0 1.0 4 3 24
2 0 0.6666666666666666 4 3 28
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
1 0 1.8 4 2 23
2 1 1.25 8 3 11
2 0 1.0 4 3 2
1 1 1.25 6 4 27
1 0 1.0 4 3 1
1 1 1.0 6 3 13
1 0 2.25 4 2 19
1 0 3.6666666666666665 2 2 0
2 0 1.375 4 3 22
1 0 1.6 4 2 5
1 0 5.5 2 1 0
1 1 1.5 4 3 22
4 1 1.4444444444444444 8 4 28
2 0 1.5 6 2 19
1 2 1.25 6 3 20
1 0 4.0 2 2 9
1 0 2.75 4 2 0
3 1 0.6666666666666666 6 5 22
1 1 1.0 4 3 23
1 0 2.2 6 3 24
1 2 1.25 6 3 10
1 0 4.0 2 2 22
3 1 0.6 6 2 27
2 1 1.5714285714285714 4 4 23
1 0 1.6666666666666667 4 4 0
1 0 1.1666666666666667 4 3 6
1 0 11.0 2 1 22
1 1 1.2 4 3 0
1 0 4.0 2 2 22
3 0 1.0 4 3 7
1 0 2.3333333333333335 4 2 0
3 0 2.3333333333333335 6 2 23
3 0 1.3333333333333333 4 3 0
1 0 1.5714285714285714 6 2 27
3 1 0.8333333333333334 4 3 14
4 1 0.5882352941176471 6 5 17
2 0 5.5 4 5 27
1 1 1.0 6 3 4
1 0 11.0 2 1 28
3 0 1.0 4 4 7
1 0 3.6666666666666665 4 2 0
1 0 2.2 4 3 22
1 1 1.0 4 3 5
2 0 1.0 4 3 19
1 0 5.5 2 2 0
3 0 0.9090909090909091 6 4 16
1 1 1.0 6 3 27
1 0 11.0 2 1 0
2 0 1.2 4 4 24
2 1 0.75 6 3 27
1 0 1.3333333333333333 2 2 0
2 0 4.0 4 2 17
1 0 5.5 2 2 2
1 0 3.0 4 1 11
2 1 1.0 4 3 9
1 0 1.0 2 2 28
1 0 2.0 4 2 5
3 0 1.0 6 4 0
2 0 1.0 6 5 2
1 0 1.5714285714285714 6 2 27
3 1 0.8333333333333334 4 3 21
4 1 0.5882352941176471 6 5 22
1 1 1.25 6 3 27
1 0 0.875 4 2 19
1 0 1.5714285714285714 4 4 20
2 0 1.4444444444444444 8 4 9
1 0 0.7777777777777778 4 3 23
2 0 1.0 4 3 24
2 0 1.5 4 2 15
1 2 1.25 6 3 1
1 0 3.6666666666666665 4 2 28
1 0 3.6666666666666665 2 2 22
1 0 2.75 2 1 17
1 1 1.0 6 3 22
1 1 1.0 4 3 0
1 0 1.4 4 3 4
2 0 0.5 6 4 27
1 1 0.75 4 5 0
1 0 1.6 4 2 22
3 0 1.25 8 3 2
1 0 5.0 2 1 15
2 0 0.5 6 3 9
2 0 1.0 6 5 20
1 0 3.6666666666666665 2 2 0
1 0 2.75 2 3 22
1 0 0.625 4 5 23
2 0 0.8461538461538461 4 5 26
3 0 0.6666666666666666 4 4 23
1 0 3.6666666666666665 2 2 27
1 0 3.6666666666666665 2 1 19
2 0 1.1666666666666667 4 2 20
3 0 0.75 4 3 9
1 0 2.75 2 2 1
1 2 1.25 6 3 17
1 0 3.6666666666666665 2 2 14
5 1 3.6666666666666665 6 4 0
2 0 1.25 4 2 22
1 1 1.2 4 3 24
1 0 5.0 2 1 11
2 0 0.5555555555555556 4 5 0
1 0 3.6666666666666665 2 2 0
1 1 1.0 6 3 27
1 1 1.0 6 3 27
3 0 1.25 8 3 23
2 1 1.5 6 5 0
1 0 3.6666666666666665 2 2 24
1 1 1.0 6 3 19
1 0 1.4 4 3 11
2 0 0.5384615384615384 4 3 28
1 1 1.0 6 3 27
1 0 5.5 2 1 21
1 0 3.6666666666666665 2 1 28
2 1 1.5 6 3 19
2 0 1.0 4 4 28
1 1 1.5 4 4 23
1 1 1.0 4 3 17
1 2 1.25 6 3 26
2 0 1.0 4 4 0
1 0 3.6666666666666665 2 2 23
1 0 3.6666666666666665 2 1 1
2 0 1.0 4 2 7
3 1 0.75 6 3 17
1 0 1.8 4 2 0
2 0 0.5384615384615384 4 3 2
2 0 1.0 4 2 0
2 0 0.6666666666666666 4 2 22
1 0 10.0 2 1 23
3 1 0.5454545454545454 6 2 1
1 0 5.0 2 1 7
3 0 1.2 6 3 17
1 2 1.25 6 3 0
2 0 1.0 4 4 2
1 0 5.5 2 2 0
1 0 3.6666666666666665 4 2 22
4 1 1.0 4 3 2
1 1 1.0 4 3 4
1 0 2.25 4 2 9
2 1 1.25 8 5 1
1 0 5.5 2 2 1
3 0 1.2 4 5 17
2 1 1.0 4 5 14
1 0 5.5 2 2 24
1 0 2.75 4 2 2
1 1 0.75 4 3 0
1 0 1.3333333333333333 2 2 4
3 1 0.8333333333333334 4 3 0
2 1 0.6666666666666666 4 3 2
1 0 5.5 4 2 26
3 0 0.5 4 4 24
2 0 1.0 6 3 0
3 0 1.0 8 3 26
3 0 1.5 6 5 23
1 0 5.5 2 2 0
1 0 3.5 2 1 22
2 1 1.25 2 3 23
1 0 1.0 2 2 22
2 0 1.25 4 2 0
2 0 1.0 6 3 1
2 0 1.5 6 3 11
3 0 1.0 8 3 17
4 1 0.6 4 4 24
1 1 1.2 4 3 4
3 1 0.75 6 3 27
4 1 0.8333333333333334 4 3 0
1 0 2.75 4 2 24
2 1 1.2 6 5 1
2 1 0.6666666666666666 4 2 22
3 1 0.8333333333333334 4 3 0
1 0 5.5 4 2 23
3 0 1.0 4 3 17
1 2 1.0 6 4 0
2 0 1.0 4 4 2
1 0 5.5 2 2 0
1 0 2.75 4 2 22
1 1 1.0 6 3 24
1 1 0.75 4 5 0
1 1 1.0 6 3 4
1 0 1.6666666666666667 4 4 5
1 0 5.5 2 2 27
1 0 0.7777777777777778 4 3 23
2 1 1.4 4 3 17
1 0 11.0 2 1 9
1 0 1.75 4 2 19
3 1 0.6 6 2 0
1 0 5.5 2 2 11
1 0 3.0 2 1 2
1 0 1.25 2 3 15
1 0 1.0 2 2 17
2 1 1.0 4 3 24
2 0 2.0 6 2 23
2 1 1.1666666666666667 4 3 0
1 0 5.5 2 2 0
1 0 2.75 4 2 17
3 1 0.6 6 5 7
1 0 1.4 4 3 0
3 0 0.6363636363636364 4 4 7
1 0 5.5 2 2 27
1 0 3.6666666666666665 4 2 2
2 0 1.0 4 3 20
1 0 5.5 2 1 7
1 1 0.8571428571428571 4 5 28
2 1 1.25 8 5 23
1 0 5.5 2 2 0
2 0 0.9166666666666666 4 5 28
2 1 2.25 4 2 14
2 0 2.6666666666666665 4 2 0
1 1 1.25 6 3 11
2 0 1.5 6 2 1
3 1 0.8333333333333334 4 3 5
1 1 0.8571428571428571 4 5 0
1 0 2.25 4 2 24
2 1 1.25 8 5 26
1 0 5.5 4 2 27
2 0 1.2 6 3 2
2 1 0.75 6 3 17
1 0 1.3333333333333333 2 2 0
1 0 5.5 2 2 22
1 0 1.375 6 2 17
1 0 1.5555555555555556 4 4 24
2 1 1.25 8 3 27
3 1 0.6666666666666666 6 3 28
1 0 1.6 4 2 1
1 0 5.5 4 2 3
1 0 3.6666666666666665 4 2 27
2 0 0.75 6 2 28
2 0 1.0 4 2 17
3 1 0.6666666666666666 4 3 0
2 0 1.0 4 4 7
1 0 3.6666666666666665 4 2 23
1 0 3.6666666666666665 2 1 24
1 2 1.25 6 3 2
1 1 1.0 6 3 13
1 0 11.0 2 1 19
1 1 1.5 4 5 19
2 1 0.625 4 5 4
1 0 2.0 2 1 9
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 4 2 0
2 0 1.375 4 3 22
1 0 2.25 4 2 26
1 0 5.5 2 1 27
3 1 0.6 6 7 0
1 0 3.6666666666666665 4 2 23
1 0 3.6666666666666665 2 1 1
2 1 0.6666666666666666 4 3 0
1 0 3.6666666666666665 2 2 12
2 0 1.0769230769230769 4 5 9
1 1 1.25 4 3 23
1 1 0.75 4 5 11
1 0 2.6666666666666665 4 2 22
3 0 1.25 6 4 11
1 0 3.0 2 2 22
1 0 3.6666666666666665 2 2 27
1 0 3.6666666666666665 2 1 0
2 1 1.1666666666666667 4 3 28
1 1 1.0 6 3 0
1 0 2.6666666666666665 4 2 23
1 0 5.5 2 2 27
1 0 2.75 4 2 0
2 1 1.5 6 3 22
1 1 0.75 4 3 4
2 1 1.0 6 9 23
0 0 0 0 0 17
3 0 1.0 4 3 27
1 0 5.0 2 1 23
4 2 1.0 8 3 11
2 0 1.2 4 8 22
1 2 1.5 6 4 11
1 0 3.6666666666666665 2 2 22
1 1 1.2 4 5 1
1 0 1.6666666666666667 2 1 9
2 1 1.3333333333333333 2 2 0
1 0 2.0 2 2 23
1 0 3.6666666666666665 2 2 4
3 0 1.2 6 3 27
2 0 1.0 6 3 23
1 0 2.0 4 3 24
3 1 3.0 6 2 2
2 1 1.5 4 2 12
2 0 1.0 6 2 23
1 0 5.5 2 1 22
1 1 1.2 4 3 26
4 0 1.0 6 4 0
1 0 5.5 4 2 0
1 0 3.6666666666666665 4 2 22
4 2 1.0 4 3 4
1 0 5.5 2 1 7
3 1 2.0 6 2 28
4 1 0.6 4 4 7
1 0 5.5 4 2 0
1 0 3.6666666666666665 4 2 22
2 1 0.6666666666666666 4 3 11
2 1 1.8 4 2 0
2 0 0.5 4 4 17
1 1 1.2 4 3 27
1 1 1.0 4 3 28
1 0 2.2 2 3 2
1 1 1.0 6 3 24
1 1 1.2 4 3 0
1 0 5.5 2 1 27
3 0 1.0 4 4 22
2 0 1.0 6 3 0
1 0 1.3333333333333333 4 3 22
4 0 1.0 8 4 5
3 1 0.8333333333333334 4 3 9
4 1 1.25 8 5 1
1 1 0.8 6 3 27
1 0 0.875 4 2 0
1 0 2.75 4 3 22
1 1 1.2 4 3 8
1 1 1.0 4 3 28
1 1 0.8 6 3 27
1 0 11.0 2 1 17
1 1 1.0 6 7 22
1 1 1.0 4 4 23
1 0 5.5 2 2 26
1 1 1.0 6 3 0
2 0 3.0 4 1 22
1 0 1.8 4 2 15
2 0 1.0 6 2 1
1 0 5.5 2 1 28
1 1 1.2 4 3 17
3 0 1.4444444444444444 6 4 28
2 0 1.5 6 2 0
2 1 1.25 2 3 22
2 1 1.3333333333333333 2 3 17
1 0 1.0 2 3 0
3 1 0.6 6 3 22
1 0 1.5555555555555556 4 4 23
1 0 3.6666666666666665 4 2 23
2 1 1.1 6 5 9
2 1 1.8 4 2 0
2 0 1.0 6 3 5
2 1 1.0 8 5 1
2 0 0.75 6 3 0
2 1 1.5 6 3 22
1 0 5.5 2 1 11
3 0 1.0 8 3 0
4 1 0.6 4 4 17
1 0 5.5 4 2 12
1 0 2.75 4 2 28
3 1 1.25 4 2 23
4 1 0.6 4 4 0
1 0 5.5 4 2 0
1 0 3.6666666666666665 4 2 22
3 1 0.6666666666666666 6 5 5
2 0 1.0 4 3 1
1 1 1.0 6 3 11
2 0 0.5 4 4 28
1 0 3.0 2 2 27
4 1 1.0 6 3 2
1 0 0.8 2 3 11
2 0 1.0 6 3 4
2 0 1.0 4 4 22
1 1 1.0 6 3 0
3 1 2.0 6 2 22
2 1 1.8 4 2 1
2 0 1.0 6 2 9
1 0 5.5 2 1 0
1 1 1.2 4 3 23
4 1 1.625 8 4 4
1 0 5.5 2 1 27
1 0 3.6666666666666665 4 2 1
2 0 1.0 4 3 9
2 1 1.8 4 2 24
1 0 11.0 2 1 0
1 1 1.2 4 3 23
6 2 0.47368421052631576 6 7 4
3 0 1.5 4 3 27
2 0 1.0 6 3 0
1 1 0.75 4 5 22
1 0 2.2 2 3 2
2 1 1.25 8 5 28
1 0 5.5 2 1 15
1 0 1.0 4 5 27
2 0 1.0 6 3 0
2 1 2.0 4 2 22
1 0 5.5 2 1 0
1 0 2.75 4 2 1
3 1 0.6 6 5 9
2 1 1.4 4 3 28
3 1 0.6363636363636364 4 5 22
2 0 0.5 6 2 2
1 0 1.0 4 3 24
1 0 3.6666666666666665 4 1 15
2 1 1.8 4 2 22
1 0 1.625 6 4 20
2 0 2.0 6 2 0
2 1 1.8 4 2 22
1 0 11.0 2 1 28
1 1 1.0 4 3 27
4 1 1.625 8 4 23
2 0 0.6 6 2 0
1 0 1.1666666666666667 4 3 28
2 0 1.2 4 2 14
1 0 1.4 4 3 0
2 0 0.5 4 2 0
2 1 1.5 6 3 22
1 0 10.0 2 1 11
1 0 2.25 2 2 0
2 0 1.0 4 3 17
1 1 1.0 6 3 28
1 0 1.0 4 4 8
1 0 2.75 4 3 0
2 1 0.5 4 5 17
1 1 0.75 4 4 0
1 0 1.3333333333333333 2 2 22
2 0 0.8 4 3 13
1 0 5.5 2 1 1
2 1 0.8571428571428571 4 2 0
1 0 2.75 2 2 5
1 0 5.5 2 1 23
1 1 0.8 6 4 5
2 1 2.25 4 2 22
3 0 0.7857142857142857 6 7 28
3 1 2.0 6 2 0
2 1 1.8 4 2 22
2 0 1.0 6 2 11
1 0 5.5 2 1 28
1 1 1.2 4 3 0
5 1 1.0 8 4 5
1 1 1.0 6 3 1
3 0 1.5 6 3 22
4 1 1.0 4 3 0
1 0 2.2 4 3 7
4 0 1.25 8 5 28
2 1 0.6666666666666666 4 2 13
4 1 1.0 4 3 1
3 1 1.0 4 3 0
1 0 1.2 2 2 5
2 0 1.0 6 2 28
2 1 1.8 4 2 8
1 0 11.0 2 1 0
2 0 0.5 4 4 17
1 0 1.3333333333333333 4 3 0
1 0 1.8 4 2 22
1 0 11.0 2 1 11
1 1 1.2 4 3 0
1 0 5.5 2 2 17
1 0 5.5 2 1 0
3 1 1.5 6 2 22
2 0 1.0 6 3 23
3 1 1.5 6 2 11
2 0 1.0 6 3 22
1 0 11.0 2 1 11
1 0 3.0 4 1 22
1 0 1.25 2 3 0
1 0 0.7777777777777778 4 4 2
2 0 1.0 6 3 0
3 0 1.25 8 3 1
4 1 0.5555555555555556 4 4 28
1 0 3.0 2 2 24
4 2 1.0 6 3 27
1 0 1.0 4 3 0
2 1 1.5 6 6 11
